# pi_control,v0.2.0
# log for:, actuator.position
# date:, 2018_07_25_15_30_35
# meta:, 
# comment:,
time (s), position (raw)
67.91443807899986,14013
67.92437887199958,14011
67.93477451299987,14007
67.94433920999973,14005
67.95437099299988,14001
67.96434527599968,13999
67.97393002599983,13993
67.98386425699982,13994
67.99407057299959,13987
68.00363954099976,13980
68.01328626999975,13978
68.02319065699976,13972
68.03277587499997,13972
68.04224984199982,13965
68.05207933299971,13967
68.06189684399988,13959
68.07154883399971,13959
68.08146160599972,13955
68.09128588799967,13953
68.10081167899989,13947
68.1107429929998,13942
68.12057133799999,13940
68.13026306699976,13934
68.14031870499957,13934
68.1504203329996,13929
68.16000190499972,13926
68.17047077500001,13923
68.18060531999981,13918
68.19016798499979,13916
68.20053560499991,13913
68.21055368999987,13907
68.22015000199963,13903
68.23014225399993,13901
68.24057278999999,13894
68.25018774799992,13894
68.26037651199977,13890
68.27035444099965,13882
68.27996017999976,13884
68.29014566299975,13878
68.30026109299979,13873
68.30986131099962,13874
68.31956231099957,13869
68.32949232299961,13867
68.33910873899958,13868
68.34857114399983,13862
68.35840948899977,13862
68.36797251899998,13862
68.37742872599983,13853
68.39053688399963,13853
68.40011543499986,13845
68.40956669399975,13845
68.41948274799961,13845
68.42906494499994,13841
68.438506985,13837
68.4483892369999,13837
68.45800674699967,13830
68.46747269299976,13829
68.47755364399973,13821
68.48753433299999,13823
68.4970669469999,13822
68.50155635099964,13822
68.50736560699988,13813
68.51740947399958,13814
68.52698776499983,13808
68.53691053699959,13806
68.54727596899966,13805
68.55689827099968,13804
68.56705453399991,13801
68.57708121299993,13794
68.58665476499982,13790
68.59661550599958,13787
68.60682307199977,13787
68.61641188399972,13781
68.62609533199975,13777
68.63603841699978,13771
68.64561290599977,13767
68.65511525900001,13762
68.6649662599998,13763
68.67455736399961,13762
68.68410825899991,13758
68.69401519799976,13753
68.70360239499996,13748
68.71305901899996,13743
68.72318465699982,13731
68.73326972199993,13733
68.74283478399957,13728
68.7531449019998,13726
68.76310793499988,13719
68.77273424799978,13717
68.78270269699988,13715
68.793133442,13711
68.80275793099963,13712
68.81297638199976,13703
68.82301774899997,13698
68.83259775899978,13693
68.84255834399983,13690
